Core,trail,poly-1,poly-53,nemertean-1,poly-48,poly-4,biv-7,tan-1,poly-10,poly-36,poly-26,poly-29,poly-55,poly-18,poly-56,chondro-1,iso-3,cum-1,poly-59,poly-41,poly-46,poly-53,poly-19,poly-51,brach-1,biv-3,aplac-1,amph-3,aplac-2,poly-12
GE23-WF3-C1,background,,,1,,1,1,,,,,1,,,,,2,,1,,,1,,,,,,,,
GE23-WF3-C2,background,,,,1,,1,,,,,1,1,,,,,,,,,,,,,1,,,,
GE23-WF3-C5,background,,,1,,,,,,,,1,,,,1,1,,,,,,,1,,,1,,,
GE23-WF3-C9,background,,,1,,,1,1,,1,,,,,,,,,1,,1,1,,,,,,1,,
GE23-WF3-C10,background,,,,,1,2,1,,2,1,2,,,,,,,,,,1,1,1,1,,,,,
GE23-WF3-C11,background,,,1,,,2,2,,,,3,,,,,1,,,,,,,,,1,1,,,
GE23-WF3-C13,background,,,,,,1,2,,2,,1,,,,1,1,,1,,1,,,,1,1,,,,
GE23-WF3-C15,background,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,
GE23-WF3-C16,background,,,,,,2,,,4,,2,,1,,,,,1,,,,1,,,,,,1,
GE23-WF3-C17,background,,,,,,1,1,,,,,,1,,,1,,1,,,,,,,,,,,2
GE23-WF3-C3,trail,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
GE23-WF3-C4,trail,1,3,,,1,,2,2,1,,,,,,,,3,,,,,,,,,,1,,
GE23-WF3-C6,trail,1,,,,,1,,,1,,,2,3,,,,,,,,,,,,,,1,,
GE23-WF3-C7,trail,,,,,,,1,,2,,,,1,,,1,2,,1,,,,,,,,,,
GE23-WF3-C8,trail,1,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,
GE23-WF3-C12,trail,1,,,,,1,,2,1,,,,,,,,1,,,,,,,,,,3,,
GE23-WF3-C14,trail,2,,,,,,2,1,1,,,,,,,,1,1,,,,,,,,,,,
GE23-WF3-C18,trail,2,,,,1,,2,,1,,,,,,,1,1,,,,,,,,,,1,,